                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.3024,                0.98564,                 1.2322,                 1.4734,                 1.2313,                 1.2127,                0.51139,                0.38448,                0.39111,                0.20966,                 1.6503,                 1.1771,                 1.3342,                 1.8954,                  1.536,                  1.314,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.3063,                0.98412,                 1.2293,                 1.4884,                 1.2372,                 1.2071,                0.50612,                0.39522,                0.39373,                0.21278,                 1.6624,                  1.193,                 1.3459,                 1.9024,                 1.5615,                 1.3194,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.2961,                  0.978,                 1.2237,                 1.4774,                 1.2226,                 1.2048,                0.47824,                0.37885,                0.38989,                0.22002,                 1.5956,                 1.1799,                 1.3212,                 1.8216,                  1.492,                 1.2857,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.2864,                0.97181,                 1.2203,                 1.4645,                 1.2132,                 1.2029,                0.56563,                0.38414,                0.40687,                 0.2269,                 1.5851,                 1.1676,                 1.3093,                 1.8313,                 1.4863,                 1.2963,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.2866,                0.96581,                 1.2203,                 1.4572,                 1.2043,                 1.2034,                0.66298,                0.37812,                0.41067,                0.23303,                  1.586,                 1.1484,                 1.2995,                 1.8173,                 1.4527,                 1.2816,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.2915,                0.96919,                 1.2215,                 1.4603,                  1.213,                 1.2003,                0.70345,                  0.346,                 0.4014,                0.22272,                 1.5896,                 1.1539,                 1.3142,                  1.815,                 1.4965,                 1.2938,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.2884,                0.96418,                   1.22,                 1.4703,                 1.2044,                 1.2032,                0.55477,                0.33522,                0.38731,                0.21306,                 1.6591,                 1.1928,                 1.3368,                   1.87,                 1.5403,                 1.3003,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.2825,                0.96504,                 1.2209,                 1.4624,                 1.2059,                 1.2032,                0.56575,                0.42506,                0.41911,                0.23191,                 1.5759,                 1.1127,                 1.3046,                 1.7977,                 1.4687,                 1.2795,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.2768,                0.95481,                  1.211,                 1.4571,                 1.1845,                 1.1921,                0.58771,                 0.3906,                0.40822,                0.22092,                  1.607,                 1.1591,                 1.3121,                 1.8451,                 1.4707,                 1.2982,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.2851,                0.95894,                 1.2121,                 1.4669,                 1.1927,                 1.1949,                 0.6291,                0.38147,                0.42394,                0.24319,                 1.5688,                 1.1332,                 1.2889,                  1.795,                  1.469,                 1.2687,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.2752,                0.95018,                 1.2076,                 1.4503,                 1.1853,                 1.1908,                0.55411,                0.36468,                0.40795,                0.22542,                 1.5833,                 1.1437,                 1.2957,                 1.8208,                 1.4551,                 1.2919,             0.00046206,             0.00046206,             0.00046206
